chapter,rank_in_chapter,hts8,api_hts_number,brief_description
24,18,24012035,2401.20.35,"Tobacco, partly or wholly stemmed/stripped, n/threshed or similarly proc., not or n/over 35% wrapper, flue-cured burley etc, other nesoi"
24,19,24012057,2401.20.57,"Tobacco, partly or wholly stemmed/stripped, n/threshed or similarly proc., not or n/over 35% wrapper, not flue-cured burley etc., other nesoi"
24,20,24012060,2401.20.60,"Tobacco, partly or wholly stemmed (stripped), threshed or similarly processed, from cigar leaf"
25,1,25010000,2501.00.00,"Salt & pure sodium chloride, whether or not in aqueous solution or cont. added anticaking or free-flowing agents; sea water"
25,2,25020000,2502.00.00,"Iron pyrites, unroasted"
25,3,25030000,2503.00.00,"Sulfur of all kinds, other than sublimed, precipitated and colloidal sulfur"
25,4,25041010,2504.10.10,"Natural graphite, crystalline flake (not including flake dust)"
25,5,25041050,2504.10.50,Natural graphite in powder or flakes (other than crystalline flake)
25,6,25049000,2504.90.00,"Natural graphite, other than in powder or in flakes"
25,7,25051010,2505.10.10,"Natural silica and quartz sands, containing by weight 95% or more of silica and not more than 0.6% of oxide of iron"
25,8,25051050,2505.10.50,"Natural silica and quartz sands, nesoi"
25,9,25059000,2505.90.00,"Natural sands, other than silica or quartz sands and other than metal-bearing sands of chapter 26"
25,10,25061000,2506.10.00,Quartz (other than natural sands)
25,11,25062000,2506.20.00,Quartzite
25,12,25070000,2507.00.00,"Kaolin and other kaolinic clays, whether or not calcined"
25,13,25081000,2508.10.00,"Bentonite clay, whether or not calcined"
25,14,25083000,2508.30.00,"Fire-clay, whether or not calcined"
25,15,25084001,2508.40.01,"Clays, (not including expanded clays of heading 6806), nesoi, whether or not calcined"
25,16,25085000,2508.50.00,"Andalusite, kyanite and sillimanite, whether or not calcined"
25,17,25086000,2508.60.00,Mullite
25,18,25087000,2508.70.00,Chamotte or dinas earths
25,19,25090010,2509.00.10,"Chalk, crude"
25,20,25090020,2509.00.20,"Chalk, other than crude"
26,1,26011100,2601.11.00,"Iron ores and concentrates (other than roasted iron pyrites), not agglomerated"
26,2,26011200,2601.12.00,"Iron ores and concentrates (other than roasted iron pyrites), agglomerated"
26,3,26012000,2601.20.00,Roasted iron pyrites
26,4,26020000,2602.00.00,Manganese ores and concentrates including ferruginous manganese ores & concentrates with manganese content over 20% calculated on dry weight
26,5,26030000,2603.00.00,Copper ores and concentrates
26,6,26040000,2604.00.00,Nickel ores and concentrates
26,7,26050000,2605.00.00,Cobalt ores and concentrates
26,8,26060000,2606.00.00,Aluminum ores and concentrates
26,9,26070000,2607.00.00,Lead ores and concentrates
26,10,26080000,2608.00.00,Zinc ores and concentrates
26,11,26090000,2609.00.00,Tin ores and concentrates
26,12,26100000,2610.00.00,Chromium ores and concentrates
26,13,26110030,2611.00.30,Tungsten ores
26,14,26110060,2611.00.60,Tungsten concentrates
26,15,26121000,2612.10.00,Uranium ores and concentrates
26,16,26122000,2612.20.00,Thorium ores and concentrates
26,17,26131000,2613.10.00,"Molybdenum ores and concentrates, roasted"
26,18,26139000,2613.90.00,"Molybdenum ores and concentrates, not roasted"
26,19,26140030,2614.00.30,Synthetic rutile
26,20,26140060,2614.00.60,"Titanium ores and concentrates, other than synthetic rutile"
27,1,27011100,2701.11.00,"Coal, anthracite, whether or not pulverized, but not agglomerated"
27,2,27011200,2701.12.00,"Coal, bituminous, whether or not pulverized, but not agglomerated"
27,3,27011900,2701.19.00,"Coal, other than anthracite or bituminous, whether or not pulverized, but not agglomerated"
27,4,27012000,2701.20.00,"Coal, briquettes, ovoids and similar solid fuels manufactured from coal"
27,5,27021000,2702.10.00,"Lignite (excluding jet), whether or not pulverized, but not agglomerated"
27,6,27022000,2702.20.00,"Lignite (excluding jet), agglomerated"
27,7,27030000,2703.00.00,"Peat (including peat litter), whether or not agglomerated"
27,8,27040000,2704.00.00,"Coke and semicoke of coal, lignite or peat, whether or not agglomerated; retort carbon"
27,9,27050000,2705.00.00,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases or other gaseous hydrocarbons"
27,10,27060000,2706.00.00,"Tars (including reconstituted tars), distill. from coal, lignite or peat, and other mineral tars, whether dehydrated or partially distilled"
27,11,27071000,2707.10.00,"Benzene, from distillation of hi-temp coal tar or in which wt. of aromatic components o/wt. of nonaromatic components"
27,12,27072000,2707.20.00,"Toluene, from distillation of hi-temp coal tar or in which wt. of aromatic components o/wt. of nonaromatic components"
27,13,27073000,2707.30.00,"Xylenes, from distillation of hi-temp coal tar or in which wt. of aromatic components o/wt. of nonaromatic components"
27,14,27074000,2707.40.00,"Naphthalene, from distillation of hi-temp coal tar or in which wt. of aromatic components o/wt. of nonaromatic components"
27,15,27075000,2707.50.00,"Aromatichydrocarbon mix.(from dist.ofhi-temp coaltar or wt.of aromatic > nonaromatic),65%+ by vol.(incl.losses) dist. at 250 C/ASTM D 86"
27,16,27079100,2707.91.00,"Creosote oils, from dist.of hi-temp coal tar or wt. of aromatic exceeds nonaromatic"
27,17,27079910,2707.99.10,"Light oil, from dist.of hi-temp coal tar or wt. of aromatic exceeds nonaromatic"
27,18,27079920,2707.99.20,"Picolines, from dist.of hi-temp coal tar or wt. of aromatic exceeds nonaromatic"
27,19,27079940,2707.99.40,"Carbazole, from dist.of hi-temp coal tar or wt. of aromatic exceeds nonaromatic, w/purity of 65% or more by wt."
27,20,27079951,2707.99.51,Phenols > 50% by wt hydroxybenzene
28,1,28011000,2801.10.00,Chlorine
28,2,28012000,2801.20.00,Iodine
28,3,28013010,2801.30.10,Fluorine
28,4,28013020,2801.30.20,Bromine
28,5,28020000,2802.00.00,"Sulfur, sublimed or precipitated; colloidal sulfur"
28,6,28030000,2803.00.00,Carbon (carbon blacks and other forms of carbon not elsewhere specified or included)
28,7,28041000,2804.10.00,Hydrogen
28,8,28042100,2804.21.00,Argon
28,9,28042900,2804.29.00,"Rare gases, other than argon"
28,10,28043000,2804.30.00,Nitrogen
28,11,28044000,2804.40.00,Oxygen
28,12,28045000,2804.50.00,Boron; tellurium
28,13,28046100,2804.61.00,Silicon containing by weight not less than 99.99 percent of silicon
28,14,28046910,2804.69.10,"Silicon, containing by weight less than 99.99 percent but not less than 99 percent of silicon"
28,15,28046950,2804.69.50,"Silicon, containing by weight less than 99 percent of silicon"
28,16,28047000,2804.70.00,Phosphorus
28,17,28048000,2804.80.00,Arsenic
28,18,28049000,2804.90.00,Selenium
28,19,28051100,2805.11.00,Sodium
28,20,28051200,2805.12.00,Calcium
29,1,29011010,2901.10.10,"Ethane and butane, saturated, having a purity of 95% or more by volume"
29,2,29011030,2901.10.30,n-Pentane and isopentane
29,3,29011040,2901.10.40,"Saturated acyclic hydrocarbon (not ethane,butane,n-pentane or isopentane),derived in whole or part from petroleum,shale oil or natural gas"
29,4,29011050,2901.10.50,"Saturated acyclic hydrocarbon (not ethane,butane,n-pentane or isopentane),not derived in whole or part petroleum,shale oil or natural gas"
29,5,29012100,2901.21.00,Ethylene
29,6,29012200,2901.22.00,Propene (Propylene)
29,7,29012300,2901.23.00,Butene (Butylene) and isomers thereof
29,8,29012410,2901.24.10,"Buta-l,3-diene"
29,9,29012420,2901.24.20,"Isoprene, having a purity of 95 percent or more by weight"
29,10,29012450,2901.24.50,Isoprene less than 95 percent pure
29,11,29012910,2901.29.10,"Unsaturated acyclic hydrocarbons, nesoi, derived in whole or in part from petroleum, shale oil or natural gas"
29,12,29012950,2901.29.50,"Unsaturated acyclic hydrocarbons, nesoi, not derived in whole or in part from petroleum, shale oil or natural gas"
29,13,29021100,2902.11.00,Cyclohexane
29,14,29021900,2902.19.00,"Cyclanic hydrocarbons (except cyclohexane), cyclenic hydrocarbons and cycloterpenes"
29,15,29022000,2902.20.00,Benzene
29,16,29023000,2902.30.00,Toluene
29,17,29024100,2902.41.00,o-Xylene
29,18,29024200,2902.42.00,m-Xylene
29,19,29024300,2902.43.00,p-Xylene
29,20,29024400,2902.44.00,Mixed xylene isomers
30,1,30012000,3001.20.00,Extracts of glands or other organs or of their secretions for organotherapeutic uses
30,2,30019001,3001.90.01,"Glands and other organs for organotherapeutic uses, dried, whether or not powdered"
30,3,30021200,3002.12.00,Antisera and other blood fractions including human blood and fetal bovine serum
30,4,30021300,3002.13.00,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale"
30,5,30021400,3002.14.00,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale"
30,6,30021500,3002.15.00,"Immunological products, put up in measured doses or in forms or packings for retail sale"
30,7,30024100,3002.41.00,Vaccines for human medicine
30,8,30024200,3002.42.00,Vaccines for veterinary medicine
30,9,30024900,3002.49.00,Toxins or cultures of micro-organisms (excluding yeasts)
30,10,30025100,3002.51.00,Cell therapy products
30,11,30025900,3002.59.00,"Other cell cultures, other than cell therapy products"
30,12,30029010,3002.90.10,"Ferments, excluding yeasts"
30,13,30029052,3002.90.52,"Human blood; animal blood prepared for therapeutic, prophylactic, diagnostic uses; antisera; antiallergenic preparations nesoi & like products"
30,14,30031000,3003.10.00,"Medicaments, cont. penicillins or streptomycins, not dosage form and not packed for retail"
30,15,30032000,3003.20.00,"Medicaments containing antibiotics, nesoi, not dosage form and not packaged for retail"
30,16,30033100,3003.31.00,"Medicaments containing insulin, not dosage form and not packed for retail"
30,17,30033910,3003.39.10,"Medicaments containing artificial mixtures of natural hormones, but not antibiotics, not dosage form and not packed for retail"
30,18,30033950,3003.39.50,"Medicaments containing products of heading 2937, nesoi, but not antibiotics, not dosage form and not packed for retail"
30,19,30034100,3003.41.00,"Medicaments containing ephedrine or its salts, not dosage form and not packed for retail"
30,20,30034200,3003.42.00,"Medicaments containing pseudoephedrine (INN) or its salts, not dosage form and not packed for retail"
31,1,31010000,3101.00.00,Animal or vegetable fertilizers; fertilizers produced by the mixing or chemical treatment of animal or vegetable products
31,2,31021000,3102.10.00,"Urea, whether or not in aqueous solution"
31,3,31022100,3102.21.00,Ammonium sulfate
31,4,31022900,3102.29.00,Double salts and mixtures of ammonium sulfate and ammonium nitrate
31,5,31023000,3102.30.00,"Ammonium nitrate, whether or not in aqueous solution"
31,6,31024000,3102.40.00,Mixtures of ammonium nitrate with calcium carbonate or other inorganic nonfertilizing substances
31,7,31025000,3102.50.00,Sodium nitrate
31,8,31026000,3102.60.00,Double salts and mixtures of calcium nitrate and ammonium nitrate
31,9,31028000,3102.80.00,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution
31,10,31029001,3102.90.01,"Mineral or chemical fertilizers, nitrogenous, nesoi, including mixtures not specified elsewhere in heading 3102"
31,11,31031100,3103.11.00,Superphosphates containing by weight 35% or more of diphosphorous pentaoxide (P2O5)
31,12,31031900,3103.19.00,Superphosphates nesoi
31,13,31039001,3103.90.01,"Mineral or chemical fertilizers, phosphatic"
31,14,31042000,3104.20.00,Potassium chloride
31,15,31043000,3104.30.00,Potassium sulfate
31,16,31049001,3104.90.01,"Mineral or chemical fertilizers, potassic, nesoi"
31,17,31051000,3105.10.00,Fertilizers of chapter 31 in tablets or similar forms or in packages of a gross weight not exceeding 10 kg
31,18,31052000,3105.20.00,"Mineral or chemical fertilizers nesoi, containing the three fertilizing elements nitrogen, phosphorus and potassium"
31,19,31053000,3105.30.00,Diammonium hydrogenorthophosphate (Diammonium phosphate)
31,20,31054000,3105.40.00,"Ammonium dihydrogenorthophosphate (Monoammonium phosphate), mixtures thereof with diammonium hydrogenorthophosphate (Diammonium phosphate)"
32,1,32011000,3201.10.00,Quebracho tanning extract
32,2,32012000,3201.20.00,Wattle tanning extract
32,3,32019010,3201.90.10,"Tannic acid, containing by weight 50 percent or more of tannic acid"
32,4,32019025,3201.90.25,"Tanning extracts of canaigre,chestnut curupay,divi-divi,eucalyptus,gambier,hemlock,larch,mangrove,myrobalan,oak,sumac,tara,urunday,valonia"
32,5,32019050,3201.90.50,"Tanning extracts of vegetable origin nesoi; tannins and their salts, ethers, esters and other derivatives"
32,6,32021010,3202.10.10,Aromatic or modified aromatic synthetic organic tanning substances
32,7,32021050,3202.10.50,"Synthetic organic tanning substances, nonaromatic"
32,8,32029010,3202.90.10,"Tanning substances, tanning preparations and enzymatic preparations for pre-tanning consisting wholly of inorganic substances"
32,9,32029050,3202.90.50,"Tanning substances, tanning preparations and enzymatic preparations for pre-tanning, nesoi"
32,10,32030010,3203.00.10,"Coloring matter of annato, archil, cochineal, cudbear, litmus and marigold meal"
32,11,32030030,3203.00.30,"Mixtures of 3,4-dihydroxyphenyl-2,4,6,-trihydroxypphenylmethanone and 2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one"
32,12,32030080,3203.00.80,"Coloring matter of vegetable or animal origin, nesoi"
32,13,32041110,3204.11.10,Disperse blue 19 and other specified dispersed dyes and preparations based thereon
32,14,32041115,3204.11.15,Disperse blue 30 and preparations based thereon
32,15,32041118,3204.11.18,"N-[2-[2,6-Dicyano-4-methylphenylazo]-5-(diethylamino)phenyl]methanesulfonamide; and 1 other specified disperse dye"
32,16,32041135,3204.11.35,Disperse dyes described in add'l U.S. note 3 to section VI
32,17,32041150,3204.11.50,"Disperse dyes and preparations based thereon, nesoi"
32,18,32041205,3204.12.05,Acid black 210 powder and presscake
32,19,32041213,3204.12.13,Acid violet 19
32,20,32041217,3204.12.17,"Acid dyes, whether or not premetallized, and preparations based thereon, acid black 31, and other specified acid or mordant dyes"
33,1,33011200,3301.12.00,Essential oils of orange
33,2,33011300,3301.13.00,Essential oils of lemon
33,3,33011910,3301.19.10,Essential oils of grapefruit
33,4,33011951,3301.19.51,"Essential oils of citrus fruit, other, nesoi"
33,5,33012400,3301.24.00,Essential oils of peppermint (Mentha piperita)
33,6,33012500,3301.25.00,"Essential oils of mints, other than peppermint"
33,7,33012910,3301.29.10,Essential oils of eucalyptus
33,8,33012920,3301.29.20,Essential oils of orris
33,9,33012951,3301.29.51,"Essential oils other than those of citrus fruit, other, nesoi"
33,10,33013000,3301.30.00,Resinoids
33,11,33019010,3301.90.10,Extracted oleoresins consisting essentially of nonvolatile components of the natural raw plant
33,12,33019050,3301.90.50,Concentrates of essential oils; terpenic by-product of the deterpenation of essential oils; aqueous distillates& solutions of essential oils
33,13,33021010,3302.10.10,"Mixtures of odoriferous substances, mixtures with a basis of these substances, used in the food or drink industries, not containing alcohol"
33,14,33021020,3302.10.20,"Mixtures of or with a basis of odoriferous substances, used in the food or drink industries, not over 20 percent alcohol by weight"
33,15,33021040,3302.10.40,"Mixtures of/with basis of odoriferous substances,with 20% to 50% alcohol by weight, needs only addn of ethyl alcohol or water to be beverage"
33,16,33021050,3302.10.50,"Mixtures of/with basis of odoriferous substances,over 50% of alcohol by weight, requiring only addn of ethyl alcohol or water to be beverage"
33,17,33021090,3302.10.90,"Mixtures of or with a basis of odoriferous substances, used in the food or drink industries, over 20 percent of alcohol by weight, nesoi"
33,18,33029010,3302.90.10,"Mixtures of or with a basis of odoriferous substances, used in other than the food or drink industries, zero to 10% alcohol by weight"
33,19,33029020,3302.90.20,"Mixtures of or with a basis of odoriferous substances, used in other than the food or drink industries, over 10 percent alcohol by weight"
33,20,33030010,3303.00.10,"Floral or flower waters, not containing alcohol"
34,1,34011110,3401.11.10,"Castile soap in the form of bars, cakes or molded pieces or shapes"
34,2,34011150,3401.11.50,"Soap, nesoi; organic surface-active products used as soap, in bars, cakes, pieces, soap-impregnated paper, wadding, felt, for toilet use"
34,3,34011900,3401.19.00,"Soap; organic surface-active products used as soap, in bars, cakes, pieces; soap-impregnated paper, wadding, felt, not for toilet use"
34,4,34012000,3401.20.00,"Soap, not in the form of bars, cakes, molded pieces or shapes"
34,5,34013010,3401.30.10,"Organic surface-active products for wash skin, in liquid or cream, contain any aromatic/mod aromatic surface-active agent, put up for retail"
34,6,34013050,3401.30.50,"Organic surface-active products and preparations for washing the skin, in liquid or cream form, put up for retail sale, nesoi"
34,7,34023110,3402.31.10,"Linear alkylbenzene sulfonic acids and their salts, aromatic or modified aromatic"
34,8,34023190,3402.31.90,"Linear alkylbenzene sulfonic acids and their salts, other than aromatic or modified aromatic"
34,9,34023910,3402.39.10,"Other anionic organic surface-active agents, other than linear alkylbenzene sulfonic acids, aromatic or modified aromatic"
34,10,34023990,3402.39.90,"Other anionic organic surface-active agents, other than linear alkylbenzene sulfonic acids, other than aromatic or modified aromatic"
34,11,34024110,3402.41.10,"Cationic organic surface-active agents, aromatic or modified aromatic"
34,12,34024190,3402.41.90,"Cationic organic surface-active agents, other than aromatic or modified aromatic"
34,13,34024210,3402.42.10,"Non-ionic organic surface-active agents, aromatic or modified aromatic"
34,14,34024220,3402.42.20,"Fatty substances of animal, vegetable or microbial origin; non-ionic organic surface-active agents, other than aromatic or modified aromatic"
34,15,34024290,3402.42.90,"Non-ionic organic surface-active agents, other than fatty substances of animal, vegetable or microbial origin, other than aromatic / modified aromatic"
34,16,34024910,3402.49.10,"Other organic surface-active agents, aromatic or modified aromatic, other than anionic, cationic or non-ionic"
34,17,34024990,3402.49.90,"Other organic surface-active agents, other than aromatic or modified aromatic, other than anionic, cationic or non-ionic"
34,18,34025011,3402.50.11,"Preparations of organic surface-active agents, put up for retail sale, containing aromatic or modified aromatic surface-active agent"
34,19,34025051,3402.50.51,"Preparations of organic surface-active agents, put up for retail sale, not containing aromatic or modified aromatic surface-active agent"
34,20,34029010,3402.90.10,Synthetic detergents put up for retail sale
35,1,35011010,3501.10.10,"Casein, milk protein concentrate"
35,2,35011050,3501.10.50,"Casein, other than milk protein concentrate"
35,3,35019020,3501.90.20,Casein glues
35,4,35019060,3501.90.60,"Caseinates and other casein derivatives, nesoi"
35,5,35021100,3502.11.00,"Egg albumin, dried"
35,6,35021900,3502.19.00,"Egg albumin, other than dried"
35,7,35022000,3502.20.00,"Milk albumin, including concentrates of two or more whey proteins"
35,8,35029000,3502.90.00,"Albumins, albuminates and other albumin derivatives, nesoi"
35,9,35030010,3503.00.10,Fish glue
35,10,35030020,3503.00.20,Inedible gelatin and animal glue valued under 88 cents per kg
35,11,35030040,3503.00.40,Inedible gelatin and animal glue valued 88 cents or more per kg
35,12,35030055,3503.00.55,"Gelatin sheets and derivatives, nesoi; isinglass; other glues of animal origin, nesoi"
35,13,35040010,3504.00.10,Protein isolates
35,14,35040050,3504.00.50,"Peptones and their derivatives; protein substances and their derivatives, nesoi; hide powder"
35,15,35051000,3505.10.00,Dextrins and other modified starches
35,16,35052000,3505.20.00,Glues based on starches or on dextrins or other modified starches
35,17,35061010,3506.10.10,"Animal glue, including casein glue but not including fish glue, not exceeding a net weight of 1 kg, put up for retail sale"
35,18,35061050,3506.10.50,"Products suitable for use as glues or adhesives, nesoi, not exceeding 1 kg, put up for retail sale"
35,19,35069110,3506.91.10,"Adhesive preparations based on rubber or plastics (including artificial resins), optically clear, for flat panel & touchscreen displays"
35,20,35069150,3506.91.50,Other adhesive preparations based on rubber or plastics (including artificial resins)
36,1,36010000,3601.00.00,Propellant powders
36,2,36020000,3602.00.00,"Prepared explosives, other than propellant powders"
36,3,36031000,3603.10.00,Safety fuses
36,4,36032000,3603.20.00,Detonating cords
36,5,36033000,3603.30.00,Percussion cups
36,6,36034000,3603.40.00,Detonating caps
36,7,36035000,3603.50.00,Igniters
36,8,36036000,3603.60.00,Electric detonators
36,9,36041010,3604.10.10,Display or special fireworks (Class 1.3G)
36,10,36041090,3604.10.90,"Fireworks, nesoi"
36,11,36049000,3604.90.00,"Signaling flares, rain rockets, fog signals and other pyrotechnic articles, excluding fireworks"
36,12,36050000,3605.00.00,"Matches, other than pyrotechnic articles of heading 3604"
36,13,36061000,3606.10.00,Liquid or liquefied-gas fuels in containers used for filling cigarette or similar lighters of a capacity not exceeding 300 cubic cm
36,14,36069030,3606.90.30,Ferrocerium and other pyrophoric alloys in all forms
36,15,36069040,3606.90.40,Metaldehyde
36,16,36069080,3606.90.80,"Articles of combustible materials as specified in note 2 of chap. 36, nesoi"
37,1,37011000,3701.10.00,"Photographic plates and film in the flat, sensitized, unexposed, of any material other than paper, paperboard or textiles, for X-ray use"
37,2,37012000,3701.20.00,"Instant print film in the flat, sensitized, unexposed, whether or not in packs"
37,3,37013000,3701.30.00,"Photographic plates and film nesoi, with any side 255 mm, in the flat, sensitized, unexposed, not of paper, paperboard, or textiles"
37,4,37019100,3701.91.00,"Photographic plates, film, for color photography, nesoi, in the flat, sensitized, unexposed, not of paper, paperboard, textiles"
37,5,37019930,3701.99.30,"Photographic dry plates, nesoi, sensitized, unexposed, of any material other than paper, paperboard or textiles"
37,6,37019960,3701.99.60,"Photographic plates and film, nesoi, in the flat, sensitized, unexposed, of any material other than paper, paperboard or textiles"
37,7,37021000,3702.10.00,"Photographic film in rolls, sensitized, unexposed, for X-ray use; of any material other than paper, paperboard or textiles"
37,8,37023101,3702.31.01,"Film in rolls, for color photography, without sprocket holes, of a width not exceeding 105 mm, sensitized, unexposed"
37,9,37023201,3702.32.01,"Film in rolls, with silver halide emulsion, without sprocket holes, of a width not exceeding 105 mm, sensitized, unexposed"
37,10,37023901,3702.39.01,"Film in rolls without sprocket holes, width not exceeding 105 mm, other than color photography or silver halide emulsion film"
37,11,37024101,3702.41.01,"Film in rolls, without sprocket holes, of a width exceeding 610 mm and of a length exceeding 200 m, for color photography"
37,12,37024201,3702.42.01,"Film in rolls, without sprocket holes, of a width exceeding 610 mm and of a length exceeding 200 m, other than for color photography"
37,13,37024301,3702.43.01,"Film in rolls, without sprocket holes, of a width exceeding 610 mm and of a length not exceeding 200 m"
37,14,37024401,3702.44.01,"Film in rolls, without sprocket holes, of a width exceeding 105 mm but not exceeding 610 mm"
37,15,37025201,3702.52.01,"Film for color photography, in rolls, of a width not exceeding 16 mm"
37,16,37025300,3702.53.00,"Film for color photography, in rolls, exceeding 16 but not 35 mm in width and of a length not exceeding 30 m, for slides"
37,17,37025400,3702.54.00,"Film for color photography, in rolls, exceeding 16 but not 35 mm in width, of a length not exceeding 30 m, other than for slides"
37,18,37025500,3702.55.00,"Film for color photography, in rolls, exceeding 16 but not 35 mm in width and of a length exceeding 30 m"
37,19,37025600,3702.56.00,"Film for color photography, in rolls, of a width exceeding 35 mm"
37,20,37029600,3702.96.00,"Photographic film nesoi, in rolls, of a width not exceeding 35 mm and of a length not exceeding 30 m"
38,1,38011010,3801.10.10,"Artificial graphite plates, rods, powder and other forms, for manufacture into brushes for electric generators, motors or appliances"
38,2,38011050,3801.10.50,"Artificial graphite, nesoi"
38,3,38012000,3801.20.00,Colloidal or semi-colloidal graphite
38,4,38013000,3801.30.00,Carbonaceous pastes for electrodes and similar pastes for furnace linings
38,5,38019000,3801.90.00,"Preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semimanufactures, nesoi"
38,6,38021000,3802.10.00,Activated carbon
38,7,38029010,3802.90.10,Bone black
38,8,38029020,3802.90.20,Activated clays and activated earths
38,9,38029050,3802.90.50,"Activated natural mineral products, nesoi; animal black, including spent animal black"
38,10,38030000,3803.00.00,"Tall oil, whether or not refined"
38,11,38040010,3804.00.10,Lignin sulfonic acid and its salts
38,12,38040050,3804.00.50,"Residual lyes from the manufacture of wood pulp, nesoi, excluding tall oil"
38,13,38051000,3805.10.00,"Gum, wood or sulfate turpentine oils"
38,14,38059010,3805.90.10,Pine oil containing alpha-terpineol as the main constituent
38,15,38059050,3805.90.50,"Terpenic oils, nesoi, produced by treatment of coniferous woods; crude dipentene; sulfite turpentine and other crude para-cymene"
38,16,38061000,3806.10.00,Rosin and resin acids
38,17,38062000,3806.20.00,Salts of rosin or of resin acids
38,18,38063000,3806.30.00,Ester gums
38,19,38069000,3806.90.00,"Resin acids, derivatives of resin acids and rosin, rosin spirit and rosin oils, run gums, nesoi"
38,20,38070000,3807.00.00,"Wood tar and its oils; wood creosote; wood naphtha; vegetable pitch; preparations based on rosin, resin acids or vegetable pitch"
39,1,39011010,3901.10.10,"Polyethylene having a specific gravity of less than 0.94 and having a relative viscosity of 1.44 or more, in primary forms"
39,2,39011050,3901.10.50,"Polyethylene having a specific gravity of less than 0.94, in primary forms, nesoi"
39,3,39012010,3901.20.10,"Polyethylene having a specific gravity of 0.94 or more and having a relative viscosity of 1.44 or more, in primary forms"
39,4,39012050,3901.20.50,"Polyethylene having a specific gravity of 0.94 or more, in primary forms, nesoi"
39,5,39013020,3901.30.20,"Ethylene copolymer: Vinyl acetate-vinyl chloride-ethylene terpoly w/ < 50% deriv of vinyl acetate, exc polymer aromatic/mod arom monomers"
39,6,39013060,3901.30.60,"Ethylene-vinyl acetate copolymers, nesoi"
39,7,39014000,3901.40.00,"Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94"
39,8,39019010,3901.90.10,"Polymers of ethylene, nesoi, in primary forms, elastomeric"
39,9,39019055,3901.90.55,"Ethylene copolymers, in primary forms, other than elastomeric"
39,10,39019090,3901.90.90,"Polymers of ethylene, nesoi, in primary forms, other than elastomeric"
39,11,39021000,3902.10.00,"Polypropylene, in primary forms"
39,12,39022010,3902.20.10,"Polyisobutylene, elastomeric, in primary forms"
39,13,39022050,3902.20.50,"Polyisobutylene, other than elastomeric, in primary forms"
39,14,39023000,3902.30.00,"Propylene copolymers, in primary forms"
39,15,39029000,3902.90.00,"Polymers of propylene or of other olefins, nesoi, in primary forms"
39,16,39031100,3903.11.00,"Polystyrene, expandable, in primary forms"
39,17,39031900,3903.19.00,"Polystyrene, other than expandable, in primary forms"
39,18,39032000,3903.20.00,"Styrene-acrylonitrile (SAN) copolymers, in primary forms"
39,19,39033000,3903.30.00,"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms"
39,20,39039010,3903.90.10,"Methyl methacrylate-butadiene-styrene (MBS) copolymers, in primary forms"
40,1,40011000,4001.10.00,"Natural rubber latex, whether or not prevulcanized"
40,2,40012100,4001.21.00,Natural rubber smoked sheets
40,3,40012200,4001.22.00,"Technically specified natural rubber (TSNR), in primary forms"
40,4,40012900,4001.29.00,"Natural rubber in primary forms other than latex, smoked sheets or technically specified natural rubber (TSNR)"
40,5,40013000,4001.30.00,"Balata, gutta-percha, guayule, chicle and similar natural rubber gums, in primary forms"
40,6,40021100,4002.11.00,"Styrene-butadiene rubber (SBR) or carboxylated styrene-butadiene rubber (XSBR), latex, in primary forms or in plates, sheets or strip"
40,7,40021900,4002.19.00,"Styrene-butadiene rubber (SBR), carboxylated styrene-butadiene rubber (XSBR), except latex, in primary forms or in plates, sheets or strip"
40,8,40022000,4002.20.00,"Butadiene rubber (BR), in primary forms or in plates, sheets or strip"
40,9,40023100,4002.31.00,"Isobutene-isoprene (butyl) rubber (IIR), in primary forms or in plates, sheets or strip"
40,10,40023900,4002.39.00,"Halo-isobutene-isoprene rubber (CIIR or BIIR), in primary forms or in plates, sheets or strip"
40,11,40024100,4002.41.00,"Chloroprene (chlorobutadiene) rubber (CR), latex, in primary forms or in plates, sheets or strip"
40,12,40024900,4002.49.00,"Chloroprene (chlorobutadiene) rubber (CR), other than latex, in primary forms or in plates, sheets or strip"
40,13,40025100,4002.51.00,"Acrylonitrile-butadiene rubber (NBR), latex, in primary forms or in plates, sheets or strip"
40,14,40025900,4002.59.00,"Acrylonitrile-butadiene rubber (NBR), other than latex, in primary forms or in plates, sheets or strip"
40,15,40026000,4002.60.00,"Isoprene rubber (IR), in primary forms or in plates, sheets or strip"
40,16,40027000,4002.70.00,"Ethylene-propylene-nonconjugated diene rubber (EPDM), in primary forms or in plates, sheets or strip"
40,17,40028000,4002.80.00,"Mixtures of natural rubber gums with synthetic rubber, in primary forms or in plates, sheets or strip"
40,18,40029100,4002.91.00,"Synthetic rubber and factice derived from oils, in latex form, in primary forms or in plates, sheets or strip, nesoi"
40,19,40029900,4002.99.00,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip, nesoi"
